original_index,TGL_LAHIR,JENIS_KELAMIN,TANGGAL_DAFTAR,KECAMATAN,PENDIDIKAN,JURUSAN,TAHUN_LULUS,Keterampilan,UPAH_DIINGINKAN,JABATAN_DIINGINKAN,WILAYAH_DIINGINKAN,WILAYAH_DIINGINKAN_DETAIL,UMUR_SAAT_DAFTAR,JABATAN_DIINGINKAN_Normalized,wilayah_diinginkan_detail_normalized,keterampilan_cleaned
12785,['2006-11-04'],['l'],['2025-05-16'],['mangkubumi'],['smk'],['rekayasa perangkat lunak'],['2025.0'],"['mengelola database,public speaking']",['rp 2.500.001 - rp 5.000.000'],"['customer servis,operator produksi,crew store,kasir']",['di dalam negeri'],['jawa barat'],['18'],['keuangan/akuntansi/perbankan'],['jawa barat'],['public speaking']
12786,['2006-02-14'],['l'],['2025-05-16'],['kawalu'],['smk'],['akuntansi'],['2025.0'],[],['rp 2.500.001 - rp 5.000.000'],['operator produksi'],['di dalam negeri'],['yogyakarta'],['19'],['produksi/operasional'],['yogyakarta'],[]
12787,['2006-06-09'],['l'],['2025-05-16'],['bungursari'],['smk'],['teknik sepedah motor'],['2025.0'],[],['0 - rp 1.000.000'],['programmer'],['di dalam negeri'],['tasikmalaya/bandung'],['18'],['it/software'],"['bandung', 'tasikmalaya']",[]
12788,['1992-10-15'],['l'],['2025-05-22'],['cihideung'],['s1'],['teknik informatika'],['2015.0'],['design grafis'],['rp 2.500.001 - rp 5.000.000'],"['administrasi,surveyor']",['di dalam negeri'],"['tasikmalaya, bandung']",['32'],['administrasi/staf umum'],"['bandung', 'tasikmalaya']","['desain grafis', 'menggambar']"
12789,['1992-10-15'],['l'],['2025-05-22'],['cihideung'],['s1'],['teknik informatika'],['2015.0'],['design grafis'],['rp 2.500.001 - rp 5.000.000'],"['administrasi,surveyor']",['di dalam negeri'],"['tasikmalaya, bandung']",['32'],['supervisor'],"['bandung', 'tasikmalaya']","['desain grafis', 'menggambar']"
12790,['2006-04-19'],['p'],['2025-05-21'],['cihideung'],['smk'],['teknik komputer jaringan'],['2025.0'],['-'],['> rp 10.000.000'],['-'],['di dalam negeri'],['-'],['19'],[],['lokasi tidak spesifik'],[]
12791,['2007-03-11'],['p'],['2025-05-21'],['cihideung'],['smk'],['teknik komputer dan jaringan'],['2025.0'],['-'],['rp 5.000.001 - rp 10.000.000'],['-'],['di dalam negeri'],['-'],['18'],[],['lokasi tidak spesifik'],[]
12792,['2007-07-27'],['p'],['2025-05-19'],['kawalu'],['smk'],['desain komunikasi visual'],['2025.0'],['manajemen waktu'],['rp 2.500.001 - rp 5.000.000'],['desain grafis'],['di dalam negeri'],['karawang'],['17'],['desain/kreatif'],['karawang'],"['manajemen', 'manajemen waktu']"
12793,['2007-05-11'],['p'],['2025-05-21'],['mangkubumi'],['smk'],['teknik komputer jaringan'],['2025.0'],['-'],['0 - rp 1.000.000'],['-'],['di dalam negeri'],['tasikmalaya'],['18'],[],['tasikmalaya'],[]
12794,['2007-01-05'],['p'],['2025-05-19'],['mangkubumi'],['sma / lainnya'],['mipa'],['2025.0'],"['manajemen waktu, kepemimpinan, beradaptasi, disiplin, cepat memahami, bertanggung jawab']",['rp 2.500.001 - rp 5.000.000'],['staff'],['di dalam negeri'],['jawa barat'],['18'],['staff'],['jawa barat'],"['bertanggung jawab', 'disiplin', 'kepemimpinan', 'manajemen', 'manajemen waktu']"
